ID,join_id,join_@id,join_area,join_highw,join_surfa,join_int_r,join_lanes,join_maxsp,join_max_1,join_onewa,join_ref,join_name,NUM_10NOND,NUM_10DEAT,Num_50Deat,Num_50NonD,ID_id,Crossing_T,Crossing_D,Traf_light,Traf_lig_1,stops_Targ,stops_Dist,bump_TargetID,bump_Distance
"563",way/367701066,way/367701066,,secondary,asphalt,,,,,,,Драгунское шоссе,"0","0","0","0","563",node/4773038317,3796.195677914728094,node/7463852740,4079.667676692707118,node/2849847592,3822.810546407469246,node/1578386259,1787.28331182796
"564",way/26406042,way/26406042,,tertiary,,,"4","70",,,,Вяжищский проезд,"0","0","0","0","564",node/5678275733,2152.089632412284573,node/177601891,6096.290642379094606,node/6010350323,3656.258810526792786,node/455885362,1480.42842958153
"565",way/173340973,way/173340973,,secondary,asphalt,,"2",,,,,Чудовская улица,"0","0","0","0","565",node/297849771,110.622051711731686,node/15500382,122.058583079009011,node/892959426,312.071407143601277,node/3940315867,235.650509913241
"566",way/675606491,way/675606491,,primary,asphalt,,"2",,,yes,,,"0","0","0","0","566",node/7462162478,431.069786824662685,node/479789030,482.254916069827800,node/313454217,908.191607741990538,node/3940315866,1378.46827236646
"567",way/48431947,way/48431947,,tertiary,,,"1",,,,,,"0","0","0","0","567",node/4570994739,330.503138263510834,node/1143738665,4833.972385309109086,node/5996483888,469.553256996739492,node/4744460853,3879.0835568595
"568",way/367701065,way/367701065,,secondary,asphalt,,,,,,,Драгунское шоссе,"0","0","0","0","568",node/4773038317,4064.330301307223181,node/7463852740,4842.431318296416975,node/2849847592,4074.386078340974109,node/1578386259,1062.17585808648
"569",way/180009241,way/180009241,,unclassified,,,,,,,,,"0","0","0","0","569",node/5678275733,5852.605353549361098,node/230461929,6379.231634820061117,node/6010350323,6628.247328390500115,node/455885369,2488.25791556989
"570",way/25329935,way/25329935,,primary,asphalt,,"2",RU:urban,,yes,,,"0","0","0","0","570",node/3941682237,861.496778198335846,node/293139220,1587.009733381105661,node/525298735,1208.208143323225386,node/3941904154,149.300137132485
"571",way/25843381,way/25843381,,tertiary,,,,,,,,Центральная улица,"0","0","0","0","571",node/4773038317,3322.242961005301368,node/7463852740,7318.721227499574525,node/2849847592,3232.273807968379515,node/1578386259,5037.19948419114
"572",way/211147952,way/211147952,,secondary,asphalt,,"4","50",,,,улица Кочетова,"0","0","0","0","572",node/6723291292,107.080909519764518,node/177602477,34.220302306178340,node/299410746,37.642105483453179,node/5144618009,278.01920784508
"573",way/173171791,way/173171791,,primary,asphalt,,"2",RU:urban,,,,,"0","0","0","0","573",node/3941682237,650.734161242926575,node/1982059585,1834.612553510671205,node/525298735,750.593147890366822,node/3941904154,930.185967172719
