id,join_id,join_geom_buffe,join_obj_cod,join_typ_cod,join_nlevel,join_btf,join_oneway,join_surface,join_splitter,join_speedlim,join_f_rspeed,join_t_rspeed,join_lanewidth,join_f_lanes,join_t_lanes,join_f_sidewalk,join_t_sidewalk,join_f_buslanes,join_t_buslanes,join_multidigit,join_rd_name,join_rd_e_name,join_rd_l_name,join_f_parking,join_t_parking,join_bicyclanes,distance,xcoord_bad,y_coord_bad,NUM_10NOND,10dead_NUM,50dead_Num,50notdead_,Cros_HubName,Cros_HubDist,traf_HubName,traf_HubDist,Stop_HubName,Stop_HubDist,Bump_HubName,Bump_HubDist,x,y
"5766","12917225","POLYGON((37.7710862200877 55.6744785745023,37.7714114050987 55.6744300736998,37.7715922306035 55.6744062880708,37.7716075139851 55.6744036714594,37.7717170186182 55.6743805217487,37.7717439353197 55.6743728289294,37.7718078055364 55.6743496285492,37.7718","0","7702","7","0","0","5","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000068772069086,6800204.61093,6182736.16878,0,0,0,0,n612374081,158.507952504045591,n296888155,136.045151375267892,n6937856053,616.465266326034794,"628293559",2525.160306625431076,37.77156,55.67428
"5793","12448372","POLYGON((37.6860473896838 55.67730780612,37.6860250720014 55.6773400411726,37.6860094718938 55.6773760108016,37.6860011888643 55.6774143327143,37.6860005412252 55.677453534221,37.686007553865 55.6774921088299,37.6860219572916 55.6775285741404,37.68604319","1000538","7700","6","0","0","2","1","60","25","25","0","1","1","1","1","0","0","0",Затонная ул.,,,"0","0","0",0.000015104819889,6794833.56803,6182694.37276,0,0,0,0,n1179036533,89.178952435353395,n253289924,113.914825348960761,n1377188033,697.618990431444786,"1711407",1516.032525437315371,37.68643,55.67719
"5822","19453271","POLYGON((37.7730025353943 55.6443557270325,37.7730043781979 55.6443555043792,37.7731372390284 55.644338825816,37.7731392058486 55.644338569,37.773262185211 55.6443218904297,37.7732638892205 55.6443216518613,37.7733864194253 55.6443039593884,37.7733881513","0","7706","7","0","0","2","0","20","5","5","0","0","0","0","0","0","0","0",,,,"0","1","3",0.000757807816646,6800672.82233,6179427.69024,0,0,0,0,n1306484805,471.444610516108128,n249674546,876.641974540197566,n249304904,1044.117122368797027,"628293557",1133.902984788715457,37.77536,55.64438
"5823","12821011","POLYGON((37.7270833492269 55.6288181500408,37.7270532027823 55.6288231579736,37.7270198710297 55.6288270229595,37.726985835796 55.6288292144361,37.726950499053 55.628829727983,37.7269156542431 55.6288284740165,37.7268809603014 55.6288254124106,37.7268484","0","7701","7","0","0","2","0","20","5","5","0","0","0","5","5","0","0","0",,,,"0","1","0",0.000028111751024,6797748.13147,6177509.25789,0,0,0,0,n248044961,384.270170781202864,n249312554,758.259081243999503,n6937856058,1141.718636932190066,"1711216",372.568621511075492,37.72699,55.62900
"5916","8390039","POLYGON((37.6659657464528 55.6478206188093,37.6659650851877 55.6478208734129,37.6653406662337 55.6480625612826,37.6653399495724 55.6480628402593,37.6644074970318 55.6484278845666,37.6636959403534 55.648704879843,37.6633101911089 55.6488550747538,37.66327","1000668","7700","2","0","1","2","0","80","25","0","0","4","0","8","1","1","0","1",Каширское шоссе,,,"1","1","0",0.000077300796682,6793768.06535,6179373.25609,0,0,0,0,n1186316188,188.902375463659638,n5379291253,615.255045497053175,n2461496762,565.396678984330606,"1711318",423.291824520114176,37.66600,55.64810
"5939","12925546","POLYGON((37.6831244780089 55.6497175504567,37.6832577838086 55.6490563842855,37.6832774031274 55.6490444436659,37.6833081940511 55.6490296195078,37.6846201838606 55.648506956791,37.6846366309221 55.6484995282546,37.6846517226189 55.6484918741665,37.68466","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000002965274870,6795185.84594,6179527.78802,0,0,0,0,n6468738595,58.679127738335609,n252352353,963.716994011742941,n7658089874,814.036534720380359,"1711314",1213.797645343160639,37.68861,55.64863
"6021","12074339","POLYGON((37.6758910480522 55.6749335007626,37.6758995248093 55.6749309175457,37.6759446202366 55.6749160755937,37.675956789478 55.6749116286032,37.6760372442609 55.6748792371476,37.6761020663248 55.6748551161539,37.6762270877515 55.6748138091672,37.67634","1008285","7700","6","0","0","2","1","60","25","25","0","1","1","5","5","0","0","0",ул. Жужа,,,"0","0","0",0.000106970062162,6794141.37652,6182383.76734,0,0,0,0,n6668196923,180.855950200840937,n5819371088,203.114918186618524,n1377188057,644.534066102526481,"1711407",1965.455643141126757,37.67513,55.67483
"6084","12317431","POLYGON((37.6786380305092 55.687762983862,37.6786765950523 55.687770051647,37.6787157974449 55.6877694600573,37.6787541311612 55.6877612318275,37.6787901230578 55.6877456831638,37.6788223899864 55.6877234115925,37.6788496919471 55.6876952729978,37.678870","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000017294107867,6794192.24135,6183767.86185,0,0,0,0,n8381104688,22.416266332913356,n253290279,385.814704274387282,n1377188034,550.975529437868886,"1711407",808.887708753062952,37.67742,55.68719
"6124","19450545","POLYGON((37.9510643183243 55.6773673166517,37.9510723139009 55.6773653604145,37.9511631335762 55.6773411487658,37.9511717797213 55.677338634008,37.951259455293 55.6773109780061,37.9512685032945 55.6773078842467,37.9513547415617 55.677276074755,37.9513642","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000182158471250,6811650.31247,6183834.59624,0,0,0,0,n2744555346,1519.648251932368339,n250070000,1745.530875664661835,n6939601874,4860.659371891418232,"1711443",5703.833087522473761,37.95405,55.67691
"6136","11685369","POLYGON((37.7991276359903 55.647318839003,37.7991666556276 55.6473150120627,37.7992041789146 55.6473036463025,37.7992387638522 55.647285178502,37.7992690813609 55.6472603183685,37.7992939663556 55.647230021263,37.7993124625201 55.6471954514862,37.7993238","0","7700","6","0","0","2","1","60","25","25","0","1","1","5","5","0","0","0",,,,"0","0","0",0.000344820561535,6802101.68626,6179871.32865,0,0,0,0,n5302836328,575.501700843929598,n264050263,621.802338307077207,n249304904,2238.493628902381715,"628293557",2299.385767137588118,37.79846,55.64746
"6151","12451964","POLYGON((37.6877129059041 55.6807169618363,37.6875762129338 55.680907704469,37.6875586588166 55.6809372750072,37.6875337754832 55.6809888335999,37.6875267057418 55.6810053360606,37.6875109852243 55.6810471197425,37.6875061765525 55.681061541521,37.687496","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000206336728702,6794884.35133,6183090.89229,0,0,0,0,n2862712023,237.655548601258857,n253290163,448.252720198096085,n1377188068,394.011343298800796,"1711407",1119.605260381791823,37.68766,55.68071
"6163","11629919","POLYGON((37.6866476910699 55.6657168139279,37.6866512216825 55.6657221095434,37.6867563138326 55.6660241581143,37.6867727650597 55.666059746521,37.6867958431349 55.6660914416312,37.6868246611806 55.6661180254197,37.6868581117354 55.6661384762864,37.68689","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000100107409480,6794955.22701,6181433.05637,0,0,0,0,n2862712052,976.720904787718723,n253289924,1164.025251517015931,n1475114997,1647.427461841694367,"19645084",1468.981880779863104,37.68700,55.66582
"6171","12916232","POLYGON((37.7471585702803 55.6482710985563,37.7471992966891 55.648260633635,37.7472666723312 55.6482559335617,37.7474363096817 55.6482654036396,37.7477066167548 55.6482888115538,37.7477458208848 55.6482883492067,37.7477841815189 55.6482802473972,37.74782","0","7701","7","0","0","2","0","20","5","5","0","0","0","5","5","0","0","0",,,,"0","1","0",0.000107418645221,6798866.87738,6179705.53181,0,0,0,0,n988974564,53.611992978896161,n249674738,113.890994243182007,n6937856057,326.380641511145996,"19645069",109.642954921337875,37.74707,55.64798
